   ,ID,COMPANYCODE,CHINESENAME,LASTCHINESENAME,TRADITIONALCHINESENAME,LASTTRADITIONALCHINESENAME,ENGLISHNAME,LASTENGLISHNAME,BUSINESSLICENSE,COMPANYREGISTRATIONTYPES,CHINESEADDRESS,TRADITIONALADDRESS,ENGLISHADDRESS,LEGAL,DATEESTABLISHMENT,BUSINESSSCOPE,BUSINESSSTARTDATE,BUSINESSENDDATE,AUTHORISEDSHARECAPITAL,CURRENCY,COMPANYTYPE,HELD,BUSINESSCONDITIONS,GENERATIONMANAGEMENT,AUTHORISEDSHARECAPITALNUMBER,MDM_CODE,UPDATECREATEDATE
1733,8ab4ff98325219210132521b00fa0185,CRNF_0051,冻联企业有限公司,,凍聯企業有限公司,,United Frozen Food Enterprises Limited,,,香港,,,39/F China Resources Building; 26 Harbour Road; Wanchai; Hong Kong; People's Republic of China,,1988/1/15,<CLOB>,,,,,私营股份公司,全资子公司,经营中[营运],,20000000,,2010/11/28
1734,8ab4ffdd3246d737013246f037cd018e,,珍熹投资有限公司,,珍熹投資有限公司,,JOY PEARL INVESTMENTS LIMITED,,,英属处女岛,,,"P.O. Box 957, Offshore Incorporations Centre; Road Town; Tortola; British Virgin Islands",,2008/1/16,<CLOB>,,,,,私营公司,,经营中[营运],,50000,,
1735,8ab4ffdd3246d737013246f03010017e,,盛世有限公司,,盛世有限公司,,BLOOM WORLD INC.,Bloom World Inc.,,英属处女岛,,,"P.O. Box 957, Offshore Incorporations Centre; Road Town; Tortola; British Virgin Islands",,2000/4/13,<CLOB>,,,,,私营公司,,经营中[营运],,50000,,
1736,4028807b3222e0fd01322465f27209bb,VAN_0157,华润苏果超市（湖北）有限公司,,華潤蘇果超市（湖北）有限公司,,,,4.201E+14,中国,湖北省武汉市江汉区新华路186号福星国际商会大厦607、608、609,,,马嘉樑;馬嘉樑;,2011/5/18,<CLOB>,,,5000000,,有限责任公司,非全资子公司,经营中[营运],,,,2012/5/21
1737,8ab4ff98325219210132521a0d4a003f,BEV_0003,华润饮料(控股)有限公司,,華潤飲料(控股)有限公司,華潤飲料(控股)有限公司,China Resources Beverage (Holdings) Limited,China Resources Beverage (Holdings) Limited,,香港,,,39/F China Resources Building; 26 Harbour Road; Wanchai; Hong Kong; People's Republic of China,,2009/11/23,<CLOB>,,,,,私营股份公司,,经营中[营运],,10000,,2009/12/2
1738,4028807b32044095013204d6170b01fa,VAN_0108,苏果超市（海安）有限公司,,蘇果超市（海安）有限公司,,,,3.20621E+12,中国,海安县海安镇长江中路93号,,,马嘉樑;馬嘉樑;,2007/1/9,<CLOB>,2007/1/9,,5000000,,有限责任公司,非全资子公司,经营中[营运],,,,
1739,8ab4ffad3237a665013237a7879e0039,,崇德堂,,崇德堂,,Chung Tak Tong,,,,,,,,,<CLOB>,,,,,,,,,,,2000/4/12
1740,8ab4ffad3237a665013237a7ba0600cc,,南针制造厂有限公司,,南針製造廠有限公司,,Nam Jam Factory Ltd.,,,,,,,,,<CLOB>,,,,,,,,,,,2000/7/10
1741,8ab4ff98325219210132521a61c900ae,F-NAVIGAT,,,,華夏航業有限公司,"Farenco Navigation Co., Limited","Farenco Navigation Co., Limited",,香港,,,"2/F., Yuen Fat Building; 89 Yen Chow Street West, West Kowloon Reclamation; Hong Kong",,1994/8/18,<CLOB>,,,,,私营股份公司,,辞职服务,,100000,,2001/10/3
1742,8ab4ff98325219210132521a629900af,CRNF_0010,和泰国际有限公司,,和泰國際有限公司,,Fordex International Limited,,,香港,,,"G/F, Singga Commercial Centre; 145 Connaught Road West; Hong Kong",,1992/3/12,<CLOB>,,,,,私营股份公司,非全资子公司,经营中[营运],,1000000,,2011/10/24
