编码-公司名,编码,公司名-简体,公司名-繁体,本位币,父节点编号,父节点中文名称,share,合并节点,最新更新日期
CRCI000 - 华润化工控股有限公司,CRCI000,华润化工控股有限公司,華潤化工控股有限公司,HKD,CRCI100,华润化工控股有限公司(PRC合并),,,7/3/2012
BZCL000 - 华润包装材料有限公司,BZCL000,华润包装材料有限公司,華潤包裝材料有限公司,CNY,CRCI100,华润化工控股有限公司(PRC合并),,,7/3/2012
BZCL100 - 华润包装材料有限公司(PRC合并),BZCL100,华润包装材料有限公司(PRC合并),華潤包裝材料有限公司(PRC合併),CNY,CRCI100,华润化工控股有限公司(PRC合并),,TRUE,7/3/2012
BZCL000 - 华润包装材料有限公司,BZCL000,华润包装材料有限公司,華潤包裝材料有限公司,CNY,BZCL100,华润包装材料有限公司(PRC合并),TRUE,,7/3/2012
CXRS000 - 常州新润石化仓储有限公司,CXRS000,常州新润石化仓储有限公司,常州新潤石化倉儲有限公司,CNY,BZCL100,华润包装材料有限公司(PRC合并),,,7/3/2012
SZHG000 - 深圳市华润化工有限公司,SZHG000,深圳市华润化工有限公司,深圳市華潤化工有限公司,CNY,BZCL100,华润包装材料有限公司(PRC合并),,,7/3/2012
ZHBZ000 - 珠海华润包装材料有限公司,ZHBZ000,珠海华润包装材料有限公司,珠海華潤包裝材料有限公司,CNY,BZCL100,华润包装材料有限公司(PRC合并),,,7/3/2012
HNTT000 - 华南特种涂装实业有限公司,HNTT000,华南特种涂装实业有限公司,華南特種塗裝實業有限公司,CNY,CRCI100,华润化工控股有限公司(PRC合并),,,7/3/2012
FASA100 - 迅达有限公司(PRC合并),FASA100,迅达有限公司(PRC合并),迅達有限公司(PRC合併),HKD,CRCI100,华润化工控股有限公司(PRC合并),,TRUE,7/3/2012
FASA000 - 迅达有限公司,FASA000,迅达有限公司,迅達有限公司,HKD,FASA100,迅达有限公司(PRC合并),,,7/3/2012
CRCC100 - 华润化工有限公司(PRC合并),CRCC100,华润化工有限公司(PRC合并),華潤化工有限公司(PRC合併),HKD,FASA100,迅达有限公司(PRC合并),,TRUE,7/3/2012
CRCC000 - 华润化工有限公司,CRCC000,华润化工有限公司,華潤化工有限公司,HKD,CRCC100,华润化工有限公司(PRC合并),,,7/3/2012
BZCL000 - 华润包装材料有限公司,BZCL000,华润包装材料有限公司,華潤包裝材料有限公司,CNY,CRCC100,华润化工有限公司(PRC合并),TRUE,,7/3/2012
BZCL100 - 华润包装材料有限公司(PRC合并),BZCL100,华润包装材料有限公司(PRC合并),華潤包裝材料有限公司(PRC合併),CNY,CRCC100,华润化工有限公司(PRC合并),TRUE,,7/3/2012
FASB100 - 荣迅有限公司(PRC合并),FASB100,荣迅有限公司(PRC合并),榮迅有限公司(PRC合併),HKD,CRCI100,华润化工控股有限公司(PRC合并),,TRUE,7/3/2012
FASB000 - 荣迅有限公司,FASB000,荣迅有限公司,榮迅有限公司,HKD,FASB100,荣迅有限公司(PRC合并),,,7/3/2012
HGGJ100 - 华润化工国际有限公司(PRC合并),HGGJ100,华润化工国际有限公司(PRC合并),華潤化工國際有限公司(PRC合併),HKD,FASB100,荣迅有限公司(PRC合并),,TRUE,7/3/2012
HGGJ000 - 华润化工国际有限公司,HGGJ000,华润化工国际有限公司,華潤化工國際有限公司,HKD,HGGJ100,华润化工国际有限公司(PRC合并),,,7/3/2012
DLHG000 - 大连华润化工有限公司,DLHG000,大连华润化工有限公司,大連華潤化工有限公司,CNY,HGGJ100,华润化工国际有限公司(PRC合并),,,7/3/2012
SHHG000 - 华润化工国际贸易(上海)有限公司,SHHG000,华润化工国际贸易(上海)有限公司,華潤化工國際貿易(上海)有限公司,CNY,HGGJ100,华润化工国际有限公司(PRC合并),,,7/3/2012
ZHBZ000 - 珠海华润包装材料有限公司,ZHBZ000,珠海华润包装材料有限公司,珠海華潤包裝材料有限公司,CNY,CRCI100,华润化工控股有限公司(PRC合并),TRUE,,7/3/2012
ZYTA100 - 朝运投资有限公司(PRC合并),ZYTA100,朝运投资有限公司(PRC合并),朝運投資有限公司(PRC合併),HKD,CRCI100,华润化工控股有限公司(PRC合并),,TRUE,7/3/2012
ZYTA000 - 朝运投资有限公司,ZYTA000,朝运投资有限公司,朝運投資有限公司,HKD,ZYTA100,朝运投资有限公司(PRC合并),,,7/3/2012
ZYTB100 - 至溢投资有限公司(PRC合并),ZYTB100,至溢投资有限公司(PRC合并),至溢投資有限公司(PRC合併),HKD,ZYTA100,朝运投资有限公司(PRC合并),,TRUE,7/3/2012
ZYTB000 - 至溢投资有限公司,ZYTB000,至溢投资有限公司,至溢投資有限公司,HKD,ZYTB100,至溢投资有限公司(PRC合并),,,7/3/2012
CSHG100 - 常熟华润化工有限公司(PRC合并),CSHG100,常熟华润化工有限公司(PRC合并),常熟華潤化工有限公司(PRC合併),CNY,ZYTB100,至溢投资有限公司(PRC合并),,TRUE,7/3/2012
CSHG000 - 常熟华润化工有限公司,CSHG000,常熟华润化工有限公司,常熟華潤化工有限公司,CNY,CSHG100,常熟华润化工有限公司(PRC合并),,,7/3/2012
CSYS000 - 常熟华润运输有限公司,CSYS000,常熟华润运输有限公司,常熟華潤運輸有限公司,CNY,CSHG100,常熟华润化工有限公司(PRC合并),,,7/3/2012
CYHQ000 - 常熟华润液化气有限公司,CYHQ000,常熟华润液化气有限公司,常熟華潤液化氣有限公司,CNY,CSHG100,常熟华润化工有限公司(PRC合并),,,7/3/2012
CYHQ190 - 常熟华润液化气有限公司(PRC虚拟节点),CYHQ190,常熟华润液化气有限公司(PRC虚拟节点),常熟華潤液化氣有限公司(PRC虛擬節點),CNY,CSHG100,常熟华润化工有限公司(PRC合并),,,7/3/2012
FASA100 - 迅达有限公司(PRC合并),FASA100,迅达有限公司(PRC合并),迅達有限公司(PRC合併),HKD,FLH0100,迅领控股有限公司(PRC合并),TRUE,,7/3/2012
GAG0100 - 华润集团(置地)有限公司(PRC合并),GAG0100,华润集团(置地)有限公司(PRC合并),CRH(Land)Limited(PRC合併),HKD,CRH0100,华润(集团)有限公司(PRC合并),,TRUE,7/3/2012
GAG0000 - 华润集团(置地)有限公司,GAG0000,华润集团(置地)有限公司,CRH(Land)Limited,HKD,GAG0100,华润集团(置地)有限公司(PRC合并),,,7/3/2012
CRLD100 - 华润置地有限公司(PRC合并),CRLD100,华润置地有限公司(PRC合并),華潤置地有限公司(PRC合併),HKD,GAG0100,华润集团(置地)有限公司(PRC合并),,TRUE,7/3/2012
CRLD000 - 华润置地有限公司,CRLD000,华润置地有限公司,華潤置地有限公司,HKD,CRLD100,华润置地有限公司(PRC合并),,,7/3/2012
BJZD100 - 华润置地(北京)股份有限公司(PRC合并),BJZD100,华润置地(北京)股份有限公司(PRC合并),華潤置地(北京)股份有限公司(PRC合併),CNY,CRLD100,华润置地有限公司(PRC合并),,TRUE,7/3/2012
BJZD000 - 华润置地(北京)股份有限公司,BJZD000,华润置地(北京)股份有限公司,華潤置地(北京)股份有限公司,CNY,BJZD100,华润置地(北京)股份有限公司(PRC合并),,,7/3/2012
BJJJ000 - 北京华润房地产经纪有限公司,BJJJ000,北京华润房地产经纪有限公司,北京華潤房地產經紀有限公司,CNY,BJZD100,华润置地(北京)股份有限公司(PRC合并),,,7/3/2012
BJJT000 - 北京嘉通瑞恒房地产开发有限公司,BJJT000,北京嘉通瑞恒房地产开发有限公司,北京嘉通瑞恒房地產開發有限公司,CNY,BJZD100,华润置地(北京)股份有限公司(PRC合并),,,7/3/2012
BJHZ000 - 北京华中园房地产开发有限公司,BJHZ000,北京华中园房地产开发有限公司,北京華中園房地產開發有限公司,CNY,BJZD100,华润置地(北京)股份有限公司(PRC合并),,,7/3/2012
BJHW000 - 北京华威大厦有限公司,BJHW000,北京华威大厦有限公司,北京華威大廈有限公司,CNY,BJZD100,华润置地(北京)股份有限公司(PRC合并),,,7/3/2012
BJHJ000 - 北京华嘉德装饰工程有限公司,BJHJ000,北京华嘉德装饰工程有限公司,北京華嘉德裝飾工程有限公司,CNY,BJZD100,华润置地(北京)股份有限公司(PRC合并),,,7/3/2012
BJWY100 - 华润置地(北京)物业管理有限责任公司(PRC合并),BJWY100,华润置地(北京)物业管理有限责任公司(PRC合并),華潤置地(北京)物業管理有限責任公司(PRC合併),CNY,BJZD100,华润置地(北京)股份有限公司(PRC合并),,TRUE,7/3/2012
BJWY000 - 华润置地(北京)物业管理有限责任公司,BJWY000,华润置地(北京)物业管理有限责任公司,華潤置地(北京)物業管理有限責任公司,CNY,BJWY100,华润置地(北京)物业管理有限责任公司(PRC合并),,,7/3/2012
BJWA100 - 华润置地(北京)物业管理有限责任公司(汇总),BJWA100,华润置地(北京)物业管理有限责任公司(汇总),華潤置地(北京)物業管理有限責任公司(匯總),CNY,BJWY100,华润置地(北京)物业管理有限责任公司(PRC合并),,TRUE,7/3/2012
BJWA000 - 华润置地(北京)物业管理有限责任公司,BJWA000,华润置地(北京)物业管理有限责任公司,華潤置地(北京)物業管理有限責任公司,CNY,BJWA100,华润置地(北京)物业管理有限责任公司(汇总),,,7/3/2012
BWHZ000 - 华润置地(北京)物业管理有限责任公司华中园物业分公司,BWHZ000,华润置地(北京)物业管理有限责任公司华中园物业分公司,華潤置地(北京)物業管理有限責任公司華中園物業分公司,CNY,BJWA100,华润置地(北京)物业管理有限责任公司(汇总),,,7/3/2012
BWDS000 - 华润置地(北京)物业管理有限责任公司东升园管理处,BWDS000,华润置地(北京)物业管理有限责任公司东升园管理处,華潤置地(北京)物業管理有限責任公司東升園管理處,CNY,BJWA100,华润置地(北京)物业管理有限责任公司(汇总),,,7/3/2012
BWHQ000 - 华润置地(北京)物业管理有限责任公司华清管理处,BWHQ000,华润置地(北京)物业管理有限责任公司华清管理处,華潤置地(北京)物業管理有限責任公司華清管理處,CNY,BJWA100,华润置地(北京)物业管理有限责任公司(汇总),,,7/3/2012
BWHT000 - 华润置地(北京)物业管理有限责任公司华亭管理处,BWHT000,华润置地(北京)物业管理有限责任公司华亭管理处,華潤置地(北京)物業管理有限責任公司華亭管理處,CNY,BJWA100,华润置地(北京)物业管理有限责任公司(汇总),,,7/3/2012
BWFH000 - 华润置地(北京)物业管理有限责任公司凤凰城管理处,BWFH000,华润置地(北京)物业管理有限责任公司凤凰城管理处,華潤置地(北京)物業管理有限責任公司鳳凰城管理處,CNY,BJWA100,华润置地(北京)物业管理有限责任公司(汇总),,,7/3/2012
BWFC000 - 华润置地(北京)物业管理有限责任公司翡翠城管理处,BWFC000,华润置地(北京)物业管理有限责任公司翡翠城管理处,華潤置地(北京)物業管理有限責任公司翡翠城管理處,CNY,BJWA100,华润置地(北京)物业管理有限责任公司(汇总),,,7/3/2012
BWXS000 - 华润置地(北京)物业管理有限责任公司橡树湾管理处,BWXS000,华润置地(北京)物业管理有限责任公司橡树湾管理处,華潤置地(北京)物業管理有限責任公司橡樹灣管理處,CNY,BJWA100,华润置地(北京)物业管理有限责任公司(汇总),,,7/3/2012
BWXT000 - 华润置地(北京)物业管理有限责任公司西堤红山管理处,BWXT000,华润置地(北京)物业管理有限责任公司西堤红山管理处,華潤置地(北京)物業管理有限責任公司西堤紅山管理處,CNY,BJWA100,华润置地(北京)物业管理有限责任公司(汇总),,,7/3/2012
BJWX000 - 华润置地(北京)物业管理有限责任公司徐州分公司,BJWX000,华润置地(北京)物业管理有限责任公司徐州分公司,華潤置地(北京)物業管理有限責任公司徐州分公司,CNY,BJWA100,华润置地(北京)物业管理有限责任公司(汇总),,,7/3/2012
BJZZ000 - 华润置地(北京)物业管理有限责任公司郑州分公司,BJZZ000,华润置地(北京)物业管理有限责任公司郑州分公司,華潤置地(北京)物業管理有限責任公司鄭州分公司,CNY,BJWA100,华润置地(北京)物业管理有限责任公司(汇总),,,7/3/2012
BWHF000 - 华润置地(北京)物业管理有限责任公司杭州分公司,BWHF000,华润置地(北京)物业管理有限责任公司杭州分公司,華潤置地(北京)物業管理有限責任公司杭州分公司,CNY,BJWY100,华润置地(北京)物业管理有限责任公司(PRC合并),,,7/3/2012
WUHZ000 - 华润置地(北京)物业管理有限责任公司慈溪分公司,WUHZ000,华润置地(北京)物业管理有限责任公司慈溪分公司,華潤置地(北京)物業管理有限責任公司慈溪分公司,CNY,BJWY100,华润置地(北京)物业管理有限责任公司(PRC合并),,,7/3/2012
WYWC000 - 华润置地(北京)物业管理有限责任公司无锡分公司,WYWC000,华润置地(北京)物业管理有限责任公司无锡分公司,華潤置地(北京)物業管理有限責任公司無錫分公司,CNY,BJWY100,华润置地(北京)物业管理有限责任公司(PRC合并),,,7/3/2012
BWGH000 - 华润置地(北京)物业管理有限责任公司合肥分公司,BWGH000,华润置地(北京)物业管理有限责任公司合肥分公司,華潤置地(北京)物業管理有限責任公司合肥分公司,CNY,BJWY100,华润置地(北京)物业管理有限责任公司(PRC合并),,,7/3/2012
BWNT000 - 华润置地(北京)物业管理有限责任公司南通分公司,BWNT000,华润置地(北京)物业管理有限责任公司南通分公司,華潤置地(北京)物業管理有限責任公司南通分公司,CNY,BJWY100,华润置地(北京)物业管理有限责任公司(PRC合并),,,7/3/2012
BWKS000 - 华润置地(北京)物业管理有限责任公司昆山分公司,BWKS000,华润置地(北京)物业管理有限责任公司昆山分公司,華潤置地(北京)物業管理有限責任公司昆山分公司,CNY,BJWY100,华润置地(北京)物业管理有限责任公司(PRC合并),,,7/3/2012
BWCZ000 - 华润置地(北京)物业管理有限责任公司常州分公司,BWCZ000,华润置地(北京)物业管理有限责任公司常州分公司,華潤置地(北京)物業管理有限責任公司常州分公司,CNY,BJWY100,华润置地(北京)物业管理有限责任公司(PRC合并),,,7/3/2012
BWTJ000 - 华润置地(北京)物业管理有限责任公司天津分公司,BWTJ000,华润置地(北京)物业管理有限责任公司天津分公司,華潤置地(北京)物業管理有限責任公司天津分公司,CNY,BJWY100,华润置地(北京)物业管理有限责任公司(PRC合并),,,7/3/2012
BWTZ000 - 华润置地(北京)物业管理有限责任公司泰州分公司,BWTZ000,华润置地(北京)物业管理有限责任公司泰州分公司,華潤置地(北京)物業管理有限責任公司泰州分公司,CNY,BJWY100,华润置地(北京)物业管理有限责任公司(PRC合并),,,7/3/2012
BJWT000 - 华润置地(北京)物业管理有限责任公司唐山分公司,BJWT000,华润置地(北京)物业管理有限责任公司唐山分公司,華潤置地(北京)物業管理有限責任公司唐山分公司,CNY,BJWY100,华润置地(北京)物业管理有限责任公司(PRC合并),,,7/3/2012
BWNF000 - 华润置地(北京)物业管理有限责任公司南京分公司,BWNF000,华润置地(北京)物业管理有限责任公司南京分公司,華潤置地(北京)物業管理有限責任公司南京分公司,CNY,BJWY100,华润置地(北京)物业管理有限责任公司(PRC合并),,,7/3/2012
HZDQ000 - 北京市华兆电器设备有限责任公司,HZDQ000,北京市华兆电器设备有限责任公司,北京市華兆電器設備有限責任公司,CNY,BJZD100,华润置地(北京)股份有限公司(PRC合并),,,7/3/2012
JDZD100 - 北京华润京通房地产开发有限责任公司(PRC合并),JDZD100,北京华润京通房地产开发有限责任公司(PRC合并),北京華潤京通房地產開發有限責任公司(PRC合併),CNY,BJZD100,华润置地(北京)股份有限公司(PRC合并),,TRUE,7/3/2012
JDZD000 - 北京华润京通房地产开发有限责任公司,JDZD000,北京华润京通房地产开发有限责任公司,北京華潤京通房地產開發有限責任公司,CNY,JDZD100,北京华润京通房地产开发有限责任公司(PRC合并),,,7/3/2012
BZCX000 - 北京中诚信房地产开发有限公司,BZCX000,北京中诚信房地产开发有限公司,北京中誠信房地產開發有限公司,CNY,JDZD100,北京华润京通房地产开发有限责任公司(PRC合并),,,7/3/2012
CYSJ000 - 北京常业盛景房地产开发有限公司,CYSJ000,北京常业盛景房地产开发有限公司,北京常業盛景房地產開發有限公司,CNY,JDZD100,北京华润京通房地产开发有限责任公司(PRC合并),,,7/3/2012
JXZD000 - 北京华润健翔房地产开发有限公司,JXZD000,北京华润健翔房地产开发有限公司,北京華潤健翔房地產開發有限公司,CNY,BJZD100,华润置地(北京)股份有限公司(PRC合并),,,7/3/2012
SGZD000 - 北京华润曙光房地产开发有限公司,SGZD000,北京华润曙光房地产开发有限公司,北京華潤曙光房地產開發有限公司,CNY,BJZD100,华润置地(北京)股份有限公司(PRC合并),TRUE,,7/3/2012
SGZD100 - 北京华润曙光房地产开发有限公司(PRC合并),SGZD100,北京华润曙光房地产开发有限公司(PRC合并),北京華潤曙光房地產開發有限公司(PRC合併),CNY,BJZD100,华润置地(北京)股份有限公司(PRC合并),,TRUE,7/3/2012
SGZD000 - 北京华润曙光房地产开发有限公司,SGZD000,北京华润曙光房地产开发有限公司,北京華潤曙光房地產開發有限公司,CNY,SGZD100,北京华润曙光房地产开发有限公司(PRC合并),,,7/3/2012
BJFH000 - 北京富恒房地产开发有限公司,BJFH000,北京富恒房地产开发有限公司,北京富恒房地產開發有限公司,CNY,SGZD100,北京华润曙光房地产开发有限公司(PRC合并),TRUE,,7/3/2012
BJFH100 - 北京富恒房地产开发有限公司(PRC合并),BJFH100,北京富恒房地产开发有限公司(PRC合并),北京富恒房地產開發有限公司(PRC合併),CNY,SGZD100,北京华润曙光房地产开发有限公司(PRC合并),,TRUE,7/3/2012
BJFH000 - 北京富恒房地产开发有限公司,BJFH000,北京富恒房地产开发有限公司,北京富恒房地產開發有限公司,CNY,BJFH100,北京富恒房地产开发有限公司(PRC合并),,,7/3/2012
BJLA000 - 北京澜庭房地产开发有限公司,BJLA000,北京澜庭房地产开发有限公司,北京瀾庭房地產開發有限公司,CNY,BJFH100,北京富恒房地产开发有限公司(PRC合并),,,7/3/2012
LSG0000 - 华润置地(山东)有限公司,LSG0000,华润置地(山东)有限公司,華潤置地(山東)有限公司,CNY,SGZD100,北京华润曙光房地产开发有限公司(PRC合并),,,7/3/2012
ZDQH000 - 华润置地(秦皇岛)有限公司,ZDQH000,华润置地(秦皇岛)有限公司,華潤置地(秦皇島)有限公司,CNY,SGZD100,北京华润曙光房地产开发有限公司(PRC合并),,,7/3/2012
XWFZ000 - 北京华润希望发展有限公司,XWFZ000,北京华润希望发展有限公司,北京華潤希望發展有限公司,CNY,SGZD100,北京华润曙光房地产开发有限公司(PRC合并),,,7/3/2012
SJZD000 - 北京华润盛景房地产开发有限公司,SJZD000,北京华润盛景房地产开发有限公司,北京華潤盛景房地產開發有限公司,CNY,BJZD100,华润置地(北京)股份有限公司(PRC合并),,,7/3/2012
TJZD100 - 华润置地(天津)有限公司(PRC合并),TJZD100,华润置地(天津)有限公司(PRC合并),華潤置地(天津)有限公司(PRC合併),CNY,BJZD100,华润置地(北京)股份有限公司(PRC合并),,TRUE,7/3/2012
TJZD000 - 华润置地(天津)有限公司,TJZD000,华润置地(天津)有限公司,華潤置地(天津)有限公司,CNY,TJZD100,华润置地(天津)有限公司(PRC合并),,,7/3/2012
TJWY000 - 华润置地(天津)物业服务有限公司,TJWY000,华润置地(天津)物业服务有限公司,華潤置地(天津)物業服務有限公司,CNY,TJZD100,华润置地(天津)有限公司(PRC合并),,,7/3/2012
LITN000 - 华润置地投资(天津)有限公司,LITN000,华润置地投资(天津)有限公司,華潤置地投資(天津)有限公司,CNY,TJZD100,华润置地(天津)有限公司(PRC合并),,,7/3/2012
XZZY000 - 北京华润新镇置业有限责任公司,XZZY000,北京华润新镇置业有限责任公司,北京華潤新鎮置業有限責任公司,CNY,BJZD100,华润置地(北京)股份有限公司(PRC合并),TRUE,,7/3/2012
XZZY100 - 北京华润新镇置业有限责任公司(PRC合并),XZZY100,北京华润新镇置业有限责任公司(PRC合并),北京華潤新鎮置業有限責任公司(PRC合併),CNY,BJZD100,华润置地(北京)股份有限公司(PRC合并),,TRUE,7/3/2012
XZZY000 - 北京华润新镇置业有限责任公司,XZZY000,北京华润新镇置业有限责任公司,北京華潤新鎮置業有限責任公司,CNY,XZZY100,北京华润新镇置业有限责任公司(PRC合并),,,7/3/2012
WCCB000 - 北京华润新镇置业有限责任公司五彩城滑冰场,WCCB000,北京华润新镇置业有限责任公司五彩城滑冰场,北京華潤新鎮置業有限責任公司五彩城滑冰場,CNY,XZZY100,北京华润新镇置业有限责任公司(PRC合并),,,7/3/2012
BOOG100 - Boom Go Group Limited(PRC合并),BOOG100,Boom Go Group Limited(PRC合并),Boom Go Group Limited(PRC合併),HKD,CRLD100,华润置地有限公司(PRC合并),,TRUE,7/3/2012
BOOG000 - Boom Go Group Limited,BOOG000,Boom Go Group Limited,Boom Go Group Limited,HKD,BOOG100,Boom Go Group Limited(PRC合并),,,7/3/2012
BCG0100 - Bright Choice Group Limited(PRC合并),BCG0100,Bright Choice Group Limited(PRC合并),Bright Choice Group Limited(PRC合併),HKD,BOOG100,Boom Go Group Limited(PRC合并),,TRUE,7/3/2012
BCG0000 - Bright Choice Group Limited,BCG0000,Bright Choice Group Limited,Bright Choice Group Limited,HKD,BCG0100,Bright Choice Group Limited(PRC合并),,,7/3/2012
CBWY000 - 北京华润物业管理有限公司,CBWY000,北京华润物业管理有限公司,北京華潤物業管理有限公司,CNY,BCG0100,Bright Choice Group Limited(PRC合并),,,7/3/2012
CBWY190 - 北京华润物业管理有限公司(PRC虚拟节点),CBWY190,北京华润物业管理有限公司(PRC虚拟节点),北京華潤物業管理有限公司(PRC虛擬節點),HKD,BCG0100,Bright Choice Group Limited(PRC合并),,,7/3/2012
WYSZ000 - 深圳华润物业管理有限公司,WYSZ000,深圳华润物业管理有限公司,深圳華潤物業管理有限公司,CNY,BCG0100,Bright Choice Group Limited(PRC合并),TRUE,,7/3/2012
WYSZ190 - 深圳华润物业管理有限公司(PRC虚拟节点),WYSZ190,深圳华润物业管理有限公司(PRC虚拟节点),深圳華潤物業管理有限公司(PRC虛擬節點),HKD,BCG0100,Bright Choice Group Limited(PRC合并),,,7/3/2012
BCG0190 - Bright Choice Group Limited(PRC虚拟节点),BCG0190,Bright Choice Group Limited(PRC虚拟节点),Bright Choice Group Limited(PRC虛擬節點),HKD,BOOG100,Boom Go Group Limited(PRC合并),,,7/3/2012
BESH100 - Best Hope Group Limited(PRC合并),BESH100,Best Hope Group Limited(PRC合并),Best Hope Group Limited(PRC合併),HKD,BOOG100,Boom Go Group Limited(PRC合并),,TRUE,7/3/2012
BESH000 - Best Hope Group Limited,BESH000,Best Hope Group Limited,Best Hope Group Limited,HKD,BESH100,Best Hope Group Limited(PRC合并),,,7/3/2012
BCR0000 - 北京华润大厦有限公司,BCR0000,北京华润大厦有限公司,北京華潤大廈有限公司,CNY,BESH100,Best Hope Group Limited(PRC合并),,,7/3/2012
BCR0190 - 北京华润大厦有限公司(PRC虚拟节点),BCR0190,北京华润大厦有限公司(PRC虚拟节点),北京華潤大廈有限公司(PRC虛擬節點),HKD,BESH100,Best Hope Group Limited(PRC合并),,,7/3/2012
BESH190 - Best Hope Group Limited(PRC虚拟节点),BESH190,Best Hope Group Limited(PRC虚拟节点),Best Hope Group Limited(PRC虛擬節點),HKD,BOOG100,Boom Go Group Limited(PRC合并),,,7/3/2012
BIGL000 - Big Leap Group Limited,BIGL000,Big Leap Group Limited,Big Leap Group Limited,HKD,BOOG100,Boom Go Group Limited(PRC合并),,,7/3/2012
BWIA100 - Bridge Win Investments Limited(PRC合并),BWIA100,Bridge Win Investments Limited(PRC合并),Bridge Win Investments Limited(PRC合併),HKD,BOOG100,Boom Go Group Limited(PRC合并),,TRUE,7/3/2012
BWIA000 - Bridge Win Investments Limited,BWIA000,Bridge Win Investments Limited,Bridge Win Investments Limited,HKD,BWIA100,Bridge Win Investments Limited(PRC合并),,,7/3/2012
LIN0100 - Linfull Investments Limited(PRC合并),LIN0100,Linfull Investments Limited(PRC合并),Linfull Investments Limited(PRC合併),HKD,BWIA100,Bridge Win Investments Limited(PRC合并),,TRUE,7/3/2012
LIN0000 - Linfull Investments Limited,LIN0000,Linfull Investments Limited,Linfull Investments Limited,HKD,LIN0100,Linfull Investments Limited(PRC合并),,,7/3/2012
MZJL000 - 北京美洲俱乐部有限公司,MZJL000,北京美洲俱乐部有限公司,北京美洲俱樂部有限公司,CNY,LIN0100,Linfull Investments Limited(PRC合并),,,7/3/2012
DIRW100 - Direct Win Group Limited(PRC合并),DIRW100,Direct Win Group Limited(PRC合并),Direct Win Group Limited(PRC合併),HKD,BOOG100,Boom Go Group Limited(PRC合并),,TRUE,7/3/2012
DIRW000 - Direct Win Group Limited,DIRW000,Direct Win Group Limited,Direct Win Group Limited,HKD,DIRW100,Direct Win Group Limited(PRC合并),,,7/3/2012
SJA0000 - 华润(深圳)有限公司,SJA0000,华润(深圳)有限公司,華潤(深圳)有限公司,CNY,DIRW100,Direct Win Group Limited(PRC合并),TRUE,,7/3/2012
SJA0190 - 华润(深圳)有限公司(PRC虚拟节点),SJA0190,华润(深圳)有限公司(PRC虚拟节点),華潤(深圳)有限公司(PRC虛擬節點),HKD,DIRW100,Direct Win Group Limited(PRC合并),,,7/3/2012
DIRW190 - Direct Win Group Limited(PRC虚拟节点),DIRW190,Direct Win Group Limited(PRC虚拟节点),Direct Win Group Limited(PRC虛擬節點),HKD,BOOG100,Boom Go Group Limited(PRC合并),,,7/3/2012
GRA0100 - Grandnice Resources Limited(PRC合并),GRA0100,Grandnice Resources Limited(PRC合并),Grandnice Resources Limited(PRC合併),HKD,BOOG100,Boom Go Group Limited(PRC合并),,TRUE,7/3/2012
GRA0000 - Grandnice Resources Limited,GRA0000,Grandnice Resources Limited,Grandnice Resources Limited,HKD,GRA0100,Grandnice Resources Limited(PRC合并),,,7/3/2012
CRSH000 - 华润(上海)有限公司,CRSH000,华润(上海)有限公司,華潤(上海)有限公司,CNY,GRA0100,Grandnice Resources Limited(PRC合并),,,7/3/2012
LZZ0000 - 华润置地(郑州)有限公司,LZZ0000,华润置地(郑州)有限公司,華潤置地(鄭州)有限公司,CNY,GRA0100,Grandnice Resources Limited(PRC合并),,,7/3/2012
HOT0000 - 华润饭店有限公司,HOT0000,华润饭店有限公司,華潤飯店有限公司,CNY,GRA0100,Grandnice Resources Limited(PRC合并),,,7/3/2012
ZDRZ000 - 华润置地(日照)有限公司,ZDRZ000,华润置地(日照)有限公司,華潤置地(日照)有限公司,CNY,GRA0100,Grandnice Resources Limited(PRC合并),,,7/3/2012
SPG0000 - 华润(沈阳)地产有限公司,SPG0000,华润(沈阳)地产有限公司,華潤(瀋陽)地產有限公司,CNY,BOOG100,Boom Go Group Limited(PRC合并),,,7/3/2012
BCR0000 - 北京华润大厦有限公司,BCR0000,北京华润大厦有限公司,北京華潤大廈有限公司,CNY,BOOG100,Boom Go Group Limited(PRC合并),TRUE,,7/3/2012
CBWY000 - 北京华润物业管理有限公司,CBWY000,北京华润物业管理有限公司,北京華潤物業管理有限公司,CNY,BOOG100,Boom Go Group Limited(PRC合并),TRUE,,7/3/2012
CBWY100 - 北京华润物业管理有限公司(PRC合并),CBWY100,北京华润物业管理有限公司(PRC合并),北京華潤物業管理有限公司(PRC合併),CNY,BOOG100,Boom Go Group Limited(PRC合并),,TRUE,7/3/2012
CBWY000 - 北京华润物业管理有限公司,CBWY000,北京华润物业管理有限公司,北京華潤物業管理有限公司,CNY,CBWY100,北京华润物业管理有限公司(PRC合并),TRUE,,7/3/2012
CWCY000 - 北京华润物业管理有限公司朝阳分部,CWCY000,北京华润物业管理有限公司朝阳分部,北京華潤物業管理有限公司朝陽分部,CNY,CBWY100,北京华润物业管理有限公司(PRC合并),,,7/3/2012
CWXC000 - 北京华润物业管理有限公司西城分部,CWXC000,北京华润物业管理有限公司西城分部,北京華潤物業管理有限公司西城分部,CNY,CBWY100,北京华润物业管理有限公司(PRC合并),,,7/3/2012
CWHD000 - 北京华润物业管理有限公司海淀分部,CWHD000,北京华润物业管理有限公司海淀分部,北京華潤物業管理有限公司海澱分部,CNY,CBWY100,北京华润物业管理有限公司(PRC合并),,,7/3/2012
