编码-公司名,编码,公司名-简体,公司名-繁体,本位币,父节点编号,父节点中文名称,share,合并节点,最新更新日期
SHU0000 - 深圳市华姿伊实业发展有限公司,SHU0000,深圳市华姿伊实业发展有限公司,深圳市華姿伊實業發展有限公司,CNY,ZRFZ100,中润纺织品进出口公司(PRC合并),TRUE,,7/3/2012
SRT0000 - 上海润联贸易有限公司,SRT0000,上海润联贸易有限公司,上海潤聯貿易有限公司,CNY,ZRFZ100,中润纺织品进出口公司(PRC合并),TRUE,,7/3/2012
CRTH000 - 湖州华润家纺有限公司,CRTH000,湖州华润家纺有限公司,湖州華潤家紡有限公司,CNY,SWTR100,上海惠源达纺织有限公司(PRC合并),,,7/3/2012
SCRH000 - 上海华润世纪纺织有限公司,SCRH000,上海华润世纪纺织有限公司,上海華潤世紀紡織有限公司,CNY,SWTR100,上海惠源达纺织有限公司(PRC合并),TRUE,,7/3/2012
SCRH190 - 上海华润世纪纺织有限公司(PRC虚拟节点),SCRH190,上海华润世纪纺织有限公司(PRC虚拟节点),上海華潤世紀紡織有限公司(PRC虛擬節點),CNY,SWTR100,上海惠源达纺织有限公司(PRC合并),,,7/3/2012
STRI000 - 上海宇润进出口有限公司,STRI000,上海宇润进出口有限公司,上海宇潤進出口有限公司,CNY,SWTR100,上海惠源达纺织有限公司(PRC合并),,,7/3/2012
SWID100 - 上海华源企业发展进出口有限公司(PRC合并),SWID100,上海华源企业发展进出口有限公司(PRC合并),上海華源企業發展進出口有限公司(PRC合併),CNY,SWTR100,上海惠源达纺织有限公司(PRC合并),,TRUE,7/3/2012
SWID000 - 上海华源企业发展进出口有限公司,SWID000,上海华源企业发展进出口有限公司,上海華源企業發展進出口有限公司,CNY,SWID100,上海华源企业发展进出口有限公司(PRC合并),,,7/3/2012
ZBWT100 - 浙江宝润毛纺有限公司(PRC合并),ZBWT100,浙江宝润毛纺有限公司(PRC合并),浙江寶潤毛紡有限公司(PRC合併),CNY,SWID100,上海华源企业发展进出口有限公司(PRC合并),TRUE,,7/3/2012
ZBWT190 - 浙江宝润毛纺有限公司(PRC虚拟节点),ZBWT190,浙江宝润毛纺有限公司(PRC虚拟节点),浙江寶潤毛紡有限公司(PRC虛擬節點),CNY,SWID100,上海华源企业发展进出口有限公司(PRC合并),,,7/3/2012
YZW0000 - 扬州华源有限公司,YZW0000,扬州华源有限公司,揚州華源有限公司,CNY,SWTR100,上海惠源达纺织有限公司(PRC合并),TRUE,,7/3/2012
YZW0190 - 扬州华源有限公司(PRC虚拟节点),YZW0190,扬州华源有限公司(PRC虚拟节点),揚州華源有限公司(PRC虛擬節點),CNY,SWTR100,上海惠源达纺织有限公司(PRC合并),,,7/3/2012
ZBWT100 - 浙江宝润毛纺有限公司(PRC合并),ZBWT100,浙江宝润毛纺有限公司(PRC合并),浙江寶潤毛紡有限公司(PRC合併),CNY,SWTR100,上海惠源达纺织有限公司(PRC合并),TRUE,,7/3/2012
ZBWT190 - 浙江宝润毛纺有限公司(PRC虚拟节点),ZBWT190,浙江宝润毛纺有限公司(PRC虚拟节点),浙江寶潤毛紡有限公司(PRC虛擬節點),CNY,SWTR100,上海惠源达纺织有限公司(PRC合并),TRUE,,7/3/2012
FTB0100 - Fashioned Time Investments Ltd(PRC合并),FTB0100,Fashioned Time Investments Ltd(PRC合并),Fashioned Time Investments Ltd(PRC合併),HKD,CBIA100,明大投资有限公司(PRC合并),,TRUE,7/3/2012
FTB0000 - Fashioned Time Investments Ltd,FTB0000,Fashioned Time Investments Ltd,Fashioned Time Investments Ltd,HKD,FTB0100,Fashioned Time Investments Ltd(PRC合并),,,7/3/2012
BIZ0000 - 北京伊都锦中艺制衣有限公司,BIZ0000,北京伊都锦中艺制衣有限公司,北京伊都錦中藝制衣有限公司,CNY,FTB0100,Fashioned Time Investments Ltd(PRC合并),,,7/3/2012
BSA0000 - 北京细亚细商社,BSA0000,北京细亚细商社,北京細亞細商社,CNY,FTB0100,Fashioned Time Investments Ltd(PRC合并),,,7/3/2012
CACA000 - 中艺(汕头)服装有限公司,CACA000,中艺(汕头)服装有限公司,中藝(汕頭)服裝有限公司,CNY,FTB0100,Fashioned Time Investments Ltd(PRC合并),,,7/3/2012
CCF0000 - 中国中发有限公司,CCF0000,中国中发有限公司,中國中發有限公司,HKD,FTB0100,Fashioned Time Investments Ltd(PRC合并),TRUE,,7/3/2012
CCF0190 - 中国中发有限公司(PRC虚拟节点),CCF0190,中国中发有限公司(PRC虚拟节点),中國中發有限公司(PRC虛擬節點),HKD,FTB0100,Fashioned Time Investments Ltd(PRC合并),,,7/3/2012
WHA0100 - 万新服装有限公司(PRC合并),WHA0100,万新服装有限公司(PRC合并),萬新服裝有限公司(PRC合併),HKD,FTB0100,Fashioned Time Investments Ltd(PRC合并),TRUE,,7/3/2012
WHA0190 - 万新服装有限公司(PRC虚拟节点),WHA0190,万新服装有限公司(PRC虚拟节点),萬新服裝有限公司(PRC虛擬節點),HKD,FTB0100,Fashioned Time Investments Ltd(PRC合并),,,7/3/2012
CCF0180 - 中国中发有限公司(PRC共同父节点反冲),CCF0180,中国中发有限公司(PRC共同父节点反冲),中國中發有限公司(PRC共同父節點反沖),HKD,FTB0100,Fashioned Time Investments Ltd(PRC合并),,,7/3/2012
MSD0000 - 万盛发展有限公司,MSD0000,万盛发展有限公司,萬盛發展有限公司,HKD,CBIA100,明大投资有限公司(PRC合并),,,7/3/2012
PYA0000 - 宇惠有限公司,PYA0000,宇惠有限公司,宇惠有限公司,HKD,CBIA100,明大投资有限公司(PRC合并),,,7/3/2012
RRH0000 - 畅润行有限公司,RRH0000,畅润行有限公司,暢潤行有限公司,HKD,CBIA100,明大投资有限公司(PRC合并),,,7/3/2012
JHL0000 - 江苏华利纺织有限公司,JHL0000,江苏华利纺织有限公司,江蘇華利紡織有限公司,CNY,CBIA100,明大投资有限公司(PRC合并),,,7/3/2012
CLI0100 - 华润纺织投资发展有限公司(PRC合并),CLI0100,华润纺织投资发展有限公司(PRC合并),華潤紡織投資發展有限公司(PRC合併),CNY,LIT0100,华润纺织(集团)有限公司(PRC合并),,TRUE,7/3/2012
CLI0001 - 华润纺织投资发展有限公司－汇总,CLI0001,华润纺织投资发展有限公司－汇总,華潤紡織投資發展有限公司－匯總,CNY,CLI0100,华润纺织投资发展有限公司(PRC合并),,TRUE,7/3/2012
CLI0040 - 华润纺织投资发展有限公司－本部,CLI0040,华润纺织投资发展有限公司－本部,華潤紡織投資發展有限公司－本部,CNY,CLI0001,华润纺织投资发展有限公司－汇总,,,7/3/2012
CLI0010 - 华润纺织投资发展有限公司－纺织,CLI0010,华润纺织投资发展有限公司－纺织,華潤紡織投資發展有限公司－紡織,CNY,CLI0001,华润纺织投资发展有限公司－汇总,,,7/3/2012
HZT0000 - 河北正定华润纺织有限公司,HZT0000,河北正定华润纺织有限公司,河北正定華潤紡織有限公司,CNY,CLI0100,华润纺织投资发展有限公司(PRC合并),,,7/3/2012
JHF0000 - 济南华丰纺织有限公司,JHF0000,济南华丰纺织有限公司,濟南華豐紡織有限公司,CNY,CLI0100,华润纺织投资发展有限公司(PRC合并),,,7/3/2012
JHF0190 - 济南华丰纺织有限公司(PRC虚拟节点),JHF0190,济南华丰纺织有限公司(PRC虚拟节点),濟南華豐紡織有限公司(PRC虛擬節點),CNY,CLI0100,华润纺织投资发展有限公司(PRC合并),,,7/3/2012
NDC0000 - 南通华润大生纺织有限公司,NDC0000,南通华润大生纺织有限公司,南通華潤大生紡織有限公司,CNY,CLI0100,华润纺织投资发展有限公司(PRC合并),,,7/3/2012
SBT0000 - 山东滨州华润纺织有限公司,SBT0000,山东滨州华润纺织有限公司,山東濱州華潤紡織有限公司,CNY,CLI0100,华润纺织投资发展有限公司(PRC合并),,,7/3/2012
SHCB000 - 华润山东惠民纺织有限公司,SHCB000,华润山东惠民纺织有限公司,華潤山東惠民紡織有限公司,CNY,CLI0100,华润纺织投资发展有限公司(PRC合并),,,7/3/2012
SLC0000 - 山东聊城华润纺织有限公司,SLC0000,山东聊城华润纺织有限公司,山東聊城華潤紡織有限公司,CNY,CLI0100,华润纺织投资发展有限公司(PRC合并),,,7/3/2012
SLCA000 - 山东临清华润纺织有限公司,SLCA000,山东临清华润纺织有限公司,山東臨清華潤紡織有限公司,CNY,CLI0100,华润纺织投资发展有限公司(PRC合并),,,7/3/2012
SPDA000 - 陕西华润印染有限公司,SPDA000,陕西华润印染有限公司,陝西華潤印染有限公司,CNY,CLI0100,华润纺织投资发展有限公司(PRC合并),,,7/3/2012
SWT0000 - 山东潍坊华润纺织有限公司,SWT0000,山东潍坊华润纺织有限公司,山東濰坊華潤紡織有限公司,CNY,CLI0100,华润纺织投资发展有限公司(PRC合并),,,7/3/2012
TCP0000 - 通州华润印染有限公司,TCP0000,通州华润印染有限公司,通州華潤印染有限公司,CNY,CLI0100,华润纺织投资发展有限公司(PRC合并),,,7/3/2012
